IAB,Unique ID,Parent,Name,Tier 1,Tier 2,Tier 3,Tier 4,
Tajik Content Language Tajik,1188,1030,Tajik,Content Language,Tajik,,,
Thai Content Language Thai,1189,1030,Thai,Content Language,Thai,,,
Tigrinya Content Language Tigrinya,1190,1030,Tigrinya,Content Language,Tigrinya,,,
Turkmen Content Language Turkmen,1191,1030,Turkmen,Content Language,Turkmen,,,
Tagalog Content Language Tagalog,1192,1030,Tagalog,Content Language,Tagalog,,,
Tswana Content Language Tswana,1193,1030,Tswana,Content Language,Tswana,,,
Tonga Content Language Tonga,1194,1030,Tonga,Content Language,Tonga,,,
Turkish Content Language Turkish,1195,1030,Turkish,Content Language,Turkish,,,
Tsonga Content Language Tsonga,1196,1030,Tsonga,Content Language,Tsonga,,,
Tatar Content Language Tatar,1197,1030,Tatar,Content Language,Tatar,,,
Twi Content Language Twi,1198,1030,Twi,Content Language,Twi,,,
Tahitian Content Language Tahitian,1199,1030,Tahitian,Content Language,Tahitian,,,
Uyghur Content Language Uyghur,1200,1030,Uyghur,Content Language,Uyghur,,,
Ukrainian Content Language Ukrainian,1201,1030,Ukrainian,Content Language,Ukrainian,,,
Urdu Content Language Urdu,1202,1030,Urdu,Content Language,Urdu,,,
Uzbek Content Language Uzbek,1203,1030,Uzbek,Content Language,Uzbek,,,
Venda Content Language Venda,1204,1030,Venda,Content Language,Venda,,,
Vietnamese Content Language Vietnamese,1205,1030,Vietnamese,Content Language,Vietnamese,,,
Volapuk Content Language Volapuk,1206,1030,Volapuk,Content Language,Volapuk,,,
Walloon Content Language Walloon,1207,1030,Walloon,Content Language,Walloon,,,
Wolof Content Language Wolof,1208,1030,Wolof,Content Language,Wolof,,,
Xhosa Content Language Xhosa,1209,1030,Xhosa,Content Language,Xhosa,,,
Yiddish Content Language Yiddish,1210,1030,Yiddish,Content Language,Yiddish,,,
Yoruba Content Language Yoruba,1211,1030,Yoruba,Content Language,Yoruba,,,
Zhuang Content Language Zhuang,1212,1030,Zhuang,Content Language,Zhuang,,,
Chinese Content Language Chinese,1213,1030,Chinese,Content Language,Chinese,,,
Zulu Content Language Zulu,1214,1030,Zulu,Content Language,Zulu,,,
Content Source Geo Content Source Geo,1219,,Content Source Geo,Content Source Geo,,,,
Continent Content Source Geo Continent,1220,1219,Continent,Content Source Geo,Continent,,,
Asia Content Source Geo Continent Asia,1221,1220,Asia,Content Source Geo,Continent,Asia,,
Africa Content Source Geo Continent Africa,1222,1220,Africa,Content Source Geo,Continent,Africa,,
North America Content Source Geo Continent North America,1223,1220,North America,Content Source Geo,Continent,North America,,
South America Content Source Geo Continent South America,1224,1220,South America,Content Source Geo,Continent,South America,,
Antarctica Content Source Geo Continent Antarctica,1225,1220,Antarctica,Content Source Geo,Continent,Antarctica,,
Europe Content Source Geo Continent Europe,1226,1220,Europe,Content Source Geo,Continent,Europe,,
Antarctica Content Source Geo Continent Antarctica,1227,1220,Antarctica,Content Source Geo,Continent,Antarctica,,
Country Content Source Geo Country,1228,1219,Country,Content Source Geo,Country,,,
Afghanistan Content Source Geo Country Afghanistan,1229,1228,Afghanistan,Content Source Geo,Country,Afghanistan,,
Aland Islands Content Source Geo Country Aland Islands,1230,1228,Aland Islands,Content Source Geo,Country,Aland Islands,,
Albania Content Source Geo Country Albania,1231,1228,Albania,Content Source Geo,Country,Albania,,
Algeria Content Source Geo Country Algeria,1232,1228,Algeria,Content Source Geo,Country,Algeria,,
American Samoa Content Source Geo Country American Samoa,1233,1228,American Samoa,Content Source Geo,Country,American Samoa,,
Andorra Content Source Geo Country Andorra,1234,1228,Andorra,Content Source Geo,Country,Andorra,,
Angola Content Source Geo Country Angola,1235,1228,Angola,Content Source Geo,Country,Angola,,
Anguilla Content Source Geo Country Anguilla,1236,1228,Anguilla,Content Source Geo,Country,Anguilla,,
Antarctica Content Source Geo Country Antarctica,1237,1228,Antarctica,Content Source Geo,Country,Antarctica,,
Antigua and Barbuda Content Source Geo Country Antigua and Barbuda,1238,1228,Antigua and Barbuda,Content Source Geo,Country,Antigua and Barbuda,,
Argentina Content Source Geo Country Argentina,1239,1228,Argentina,Content Source Geo,Country,Argentina,,
Armenia Content Source Geo Country Armenia,1240,1228,Armenia,Content Source Geo,Country,Armenia,,
Aruba Content Source Geo Country Aruba,1241,1228,Aruba,Content Source Geo,Country,Aruba,,
Australia Content Source Geo Country Australia,1242,1228,Australia,Content Source Geo,Country,Australia,,
Austria Content Source Geo Country Austria,1243,1228,Austria,Content Source Geo,Country,Austria,,
Azerbaijan Content Source Geo Country Azerbaijan,1244,1228,Azerbaijan,Content Source Geo,Country,Azerbaijan,,
Bahrain Content Source Geo Country Bahrain,1245,1228,Bahrain,Content Source Geo,Country,Bahrain,,
Bangladesh Content Source Geo Country Bangladesh,1246,1228,Bangladesh,Content Source Geo,Country,Bangladesh,,
Barbados Content Source Geo Country Barbados,1247,1228,Barbados,Content Source Geo,Country,Barbados,,
Belarus Content Source Geo Country Belarus,1248,1228,Belarus,Content Source Geo,Country,Belarus,,
Belgium Content Source Geo Country Belgium,1249,1228,Belgium,Content Source Geo,Country,Belgium,,
Belize Content Source Geo Country Belize,1250,1228,Belize,Content Source Geo,Country,Belize,,
Benin Content Source Geo Country Benin,1251,1228,Benin,Content Source Geo,Country,Benin,,
Bermuda Content Source Geo Country Bermuda,1252,1228,Bermuda,Content Source Geo,Country,Bermuda,,
Bhutan Content Source Geo Country Bhutan,1253,1228,Bhutan,Content Source Geo,Country,Bhutan,,
Bolivarian Republic of Venezuela Content Source Geo Country Bolivarian Republic of Venezuela,1254,1228,Bolivarian Republic of Venezuela,Content Source Geo,Country,Bolivarian Republic of Venezuela,,
Bolivia Content Source Geo Country Bolivia,1255,1228,Bolivia,Content Source Geo,Country,Bolivia,,
"Bonaire, Sint Eustatius and Saba Content Source Geo Country Bonaire, Sint Eustatius and Saba",1256,1228,"Bonaire, Sint Eustatius and Saba",Content Source Geo,Country,"Bonaire, Sint Eustatius and Saba",,
Bosnia and Herzegovina Content Source Geo Country Bosnia and Herzegovina,1257,1228,Bosnia and Herzegovina,Content Source Geo,Country,Bosnia and Herzegovina,,
Botswana Content Source Geo Country Botswana,1258,1228,Botswana,Content Source Geo,Country,Botswana,,
Bouvet Island Content Source Geo Country Bouvet Island,1259,1228,Bouvet Island,Content Source Geo,Country,Bouvet Island,,
Brazil Content Source Geo Country Brazil,1260,1228,Brazil,Content Source Geo,Country,Brazil,,
British Virgin Islands Content Source Geo Country British Virgin Islands,1261,1228,British Virgin Islands,Content Source Geo,Country,British Virgin Islands,,
Brunei Darussalam Content Source Geo Country Brunei Darussalam,1262,1228,Brunei Darussalam,Content Source Geo,Country,Brunei Darussalam,,
Bulgaria Content Source Geo Country Bulgaria,1263,1228,Bulgaria,Content Source Geo,Country,Bulgaria,,
Burkina Faso Content Source Geo Country Burkina Faso,1264,1228,Burkina Faso,Content Source Geo,Country,Burkina Faso,,
Burundi Content Source Geo Country Burundi,1265,1228,Burundi,Content Source Geo,Country,Burundi,,
Cabo Verde Content Source Geo Country Cabo Verde,1266,1228,Cabo Verde,Content Source Geo,Country,Cabo Verde,,
Cambodia Content Source Geo Country Cambodia,1267,1228,Cambodia,Content Source Geo,Country,Cambodia,,
Cameroon Content Source Geo Country Cameroon,1268,1228,Cameroon,Content Source Geo,Country,Cameroon,,
Canada Content Source Geo Country Canada,1269,1228,Canada,Content Source Geo,Country,Canada,,
Chad Content Source Geo Country Chad,1270,1228,Chad,Content Source Geo,Country,Chad,,
Chile Content Source Geo Country Chile,1271,1228,Chile,Content Source Geo,Country,Chile,,
China Content Source Geo Country China,1272,1228,China,Content Source Geo,Country,China,,
Christmas Island Content Source Geo Country Christmas Island,1273,1228,Christmas Island,Content Source Geo,Country,Christmas Island,,
Colombia Content Source Geo Country Colombia,1274,1228,Colombia,Content Source Geo,Country,Colombia,,
Costa Rica Content Source Geo Country Costa Rica,1275,1228,Costa Rica,Content Source Geo,Country,Costa Rica,,
Cote d'Ivoire Content Source Geo Country Cote d'Ivoire,1276,1228,Cote d'Ivoire,Content Source Geo,Country,Cote d'Ivoire,,
Croatia Content Source Geo Country Croatia,1277,1228,Croatia,Content Source Geo,Country,Croatia,,
Cuba Content Source Geo Country Cuba,1278,1228,Cuba,Content Source Geo,Country,Cuba,,
Curaçao Content Source Geo Country Curaçao,1279,1228,Curaçao,Content Source Geo,Country,Curaçao,,
Cyprus Content Source Geo Country Cyprus,1280,1228,Cyprus,Content Source Geo,Country,Cyprus,,
Czechia Content Source Geo Country Czechia,1281,1228,Czechia,Content Source Geo,Country,Czechia,,
Denmark Content Source Geo Country Denmark,1282,1228,Denmark,Content Source Geo,Country,Denmark,,
Djibouti Content Source Geo Country Djibouti,1283,1228,Djibouti,Content Source Geo,Country,Djibouti,,
Dominica Content Source Geo Country Dominica,1284,1228,Dominica,Content Source Geo,Country,Dominica,,
Ecuador Content Source Geo Country Ecuador,1285,1228,Ecuador,Content Source Geo,Country,Ecuador,,
Egypt Content Source Geo Country Egypt,1286,1228,Egypt,Content Source Geo,Country,Egypt,,
El Salvador Content Source Geo Country El Salvador,1287,1228,El Salvador,Content Source Geo,Country,El Salvador,,
Equatorial Guinea Content Source Geo Country Equatorial Guinea,1288,1228,Equatorial Guinea,Content Source Geo,Country,Equatorial Guinea,,
Eritrea Content Source Geo Country Eritrea,1289,1228,Eritrea,Content Source Geo,Country,Eritrea,,
Estonia Content Source Geo Country Estonia,1290,1228,Estonia,Content Source Geo,Country,Estonia,,
Ethiopia Content Source Geo Country Ethiopia,1291,1228,Ethiopia,Content Source Geo,Country,Ethiopia,,
Federated States of Micronesia Content Source Geo Country Federated States of Micronesia,1292,1228,Federated States of Micronesia,Content Source Geo,Country,Federated States of Micronesia,,
Fiji Content Source Geo Country Fiji,1293,1228,Fiji,Content Source Geo,Country,Fiji,,
Finland Content Source Geo Country Finland,1294,1228,Finland,Content Source Geo,Country,Finland,,
France Content Source Geo Country France,1295,1228,France,Content Source Geo,Country,France,,
French Guiana Content Source Geo Country French Guiana,1296,1228,French Guiana,Content Source Geo,Country,French Guiana,,
French Polynesia Content Source Geo Country French Polynesia,1297,1228,French Polynesia,Content Source Geo,Country,French Polynesia,,
Gabon Content Source Geo Country Gabon,1298,1228,Gabon,Content Source Geo,Country,Gabon,,
Georgia Content Source Geo Country Georgia,1299,1228,Georgia,Content Source Geo,Country,Georgia,,
Germany Content Source Geo Country Germany,1300,1228,Germany,Content Source Geo,Country,Germany,,
Ghana Content Source Geo Country Ghana,1301,1228,Ghana,Content Source Geo,Country,Ghana,,
Gibraltar Content Source Geo Country Gibraltar,1302,1228,Gibraltar,Content Source Geo,Country,Gibraltar,,
Greece Content Source Geo Country Greece,1303,1228,Greece,Content Source Geo,Country,Greece,,
Greenland Content Source Geo Country Greenland,1304,1228,Greenland,Content Source Geo,Country,Greenland,,
Grenada Content Source Geo Country Grenada,1305,1228,Grenada,Content Source Geo,Country,Grenada,,
Guadeloupe Content Source Geo Country Guadeloupe,1306,1228,Guadeloupe,Content Source Geo,Country,Guadeloupe,,
Guam Content Source Geo Country Guam,1307,1228,Guam,Content Source Geo,Country,Guam,,
Guatemala Content Source Geo Country Guatemala,1308,1228,Guatemala,Content Source Geo,Country,Guatemala,,
Guernsey Content Source Geo Country Guernsey,1309,1228,Guernsey,Content Source Geo,Country,Guernsey,,
Guinea Content Source Geo Country Guinea,1310,1228,Guinea,Content Source Geo,Country,Guinea,,
Guinea-Bissau Content Source Geo Country Guinea-Bissau,1311,1228,Guinea-Bissau,Content Source Geo,Country,Guinea-Bissau,,
Guyana Content Source Geo Country Guyana,1312,1228,Guyana,Content Source Geo,Country,Guyana,,
Haiti Content Source Geo Country Haiti,1313,1228,Haiti,Content Source Geo,Country,Haiti,,
Heard Island and McDonald Islands Content Source Geo Country Heard Island and McDonald Islands,1314,1228,Heard Island and McDonald Islands,Content Source Geo,Country,Heard Island and McDonald Islands,,
Honduras Content Source Geo Country Honduras,1315,1228,Honduras,Content Source Geo,Country,Honduras,,
Hong Kong Content Source Geo Country Hong Kong,1316,1228,Hong Kong,Content Source Geo,Country,Hong Kong,,
Hungary Content Source Geo Country Hungary,1317,1228,Hungary,Content Source Geo,Country,Hungary,,
Iceland Content Source Geo Country Iceland,1318,1228,Iceland,Content Source Geo,Country,Iceland,,
India Content Source Geo Country India,1319,1228,India,Content Source Geo,Country,India,,
Indonesia Content Source Geo Country Indonesia,1320,1228,Indonesia,Content Source Geo,Country,Indonesia,,
Iraq Content Source Geo Country Iraq,1321,1228,Iraq,Content Source Geo,Country,Iraq,,
Ireland Content Source Geo Country Ireland,1322,1228,Ireland,Content Source Geo,Country,Ireland,,
Islamic Republic of Iran Content Source Geo Country Islamic Republic of Iran,1323,1228,Islamic Republic of Iran,Content Source Geo,Country,Islamic Republic of Iran,,
Isle of Man Content Source Geo Country Isle of Man,1324,1228,Isle of Man,Content Source Geo,Country,Isle of Man,,
Israel Content Source Geo Country Israel,1325,1228,Israel,Content Source Geo,Country,Israel,,
Italy Content Source Geo Country Italy,1326,1228,Italy,Content Source Geo,Country,Italy,,
Jamaica Content Source Geo Country Jamaica,1327,1228,Jamaica,Content Source Geo,Country,Jamaica,,
Japan Content Source Geo Country Japan,1328,1228,Japan,Content Source Geo,Country,Japan,,
Jersey Content Source Geo Country Jersey,1329,1228,Jersey,Content Source Geo,Country,Jersey,,
Jordan Content Source Geo Country Jordan,1330,1228,Jordan,Content Source Geo,Country,Jordan,,
Kazakhstan Content Source Geo Country Kazakhstan,1331,1228,Kazakhstan,Content Source Geo,Country,Kazakhstan,,
Kenya Content Source Geo Country Kenya,1332,1228,Kenya,Content Source Geo,Country,Kenya,,
Kiribati Content Source Geo Country Kiribati,1333,1228,Kiribati,Content Source Geo,Country,Kiribati,,
Kuwait Content Source Geo Country Kuwait,1334,1228,Kuwait,Content Source Geo,Country,Kuwait,,
Kyrgyzstan Content Source Geo Country Kyrgyzstan,1335,1228,Kyrgyzstan,Content Source Geo,Country,Kyrgyzstan,,
Latvia Content Source Geo Country Latvia,1336,1228,Latvia,Content Source Geo,Country,Latvia,,
Lebanon Content Source Geo Country Lebanon,1337,1228,Lebanon,Content Source Geo,Country,Lebanon,,
Lesotho Content Source Geo Country Lesotho,1338,1228,Lesotho,Content Source Geo,Country,Lesotho,,
Liberia Content Source Geo Country Liberia,1339,1228,Liberia,Content Source Geo,Country,Liberia,,
Libya Content Source Geo Country Libya,1340,1228,Libya,Content Source Geo,Country,Libya,,
Liechtenstein Content Source Geo Country Liechtenstein,1341,1228,Liechtenstein,Content Source Geo,Country,Liechtenstein,,
Lithuania Content Source Geo Country Lithuania,1342,1228,Lithuania,Content Source Geo,Country,Lithuania,,
Luxembourg Content Source Geo Country Luxembourg,1343,1228,Luxembourg,Content Source Geo,Country,Luxembourg,,
Macao Content Source Geo Country Macao,1344,1228,Macao,Content Source Geo,Country,Macao,,
Madagascar Content Source Geo Country Madagascar,1345,1228,Madagascar,Content Source Geo,Country,Madagascar,,
Malawi Content Source Geo Country Malawi,1346,1228,Malawi,Content Source Geo,Country,Malawi,,
Malaysia Content Source Geo Country Malaysia,1347,1228,Malaysia,Content Source Geo,Country,Malaysia,,
Maldives Content Source Geo Country Maldives,1348,1228,Maldives,Content Source Geo,Country,Maldives,,
Mali Content Source Geo Country Mali,1349,1228,Mali,Content Source Geo,Country,Mali,,
Malta Content Source Geo Country Malta,1350,1228,Malta,Content Source Geo,Country,Malta,,
Martinique Content Source Geo Country Martinique,1351,1228,Martinique,Content Source Geo,Country,Martinique,,
Mauritania Content Source Geo Country Mauritania,1352,1228,Mauritania,Content Source Geo,Country,Mauritania,,
Mauritius Content Source Geo Country Mauritius,1353,1228,Mauritius,Content Source Geo,Country,Mauritius,,
Mayotte Content Source Geo Country Mayotte,1354,1228,Mayotte,Content Source Geo,Country,Mayotte,,
Mexico Content Source Geo Country Mexico,1355,1228,Mexico,Content Source Geo,Country,Mexico,,
Monaco Content Source Geo Country Monaco,1356,1228,Monaco,Content Source Geo,Country,Monaco,,
Mongolia Content Source Geo Country Mongolia,1357,1228,Mongolia,Content Source Geo,Country,Mongolia,,
Montenegro Content Source Geo Country Montenegro,1358,1228,Montenegro,Content Source Geo,Country,Montenegro,,
Montserrat Content Source Geo Country Montserrat,1359,1228,Montserrat,Content Source Geo,Country,Montserrat,,
Morocco Content Source Geo Country Morocco,1360,1228,Morocco,Content Source Geo,Country,Morocco,,
Mozambique Content Source Geo Country Mozambique,1361,1228,Mozambique,Content Source Geo,Country,Mozambique,,
Myanmar Content Source Geo Country Myanmar,1362,1228,Myanmar,Content Source Geo,Country,Myanmar,,
Namibia Content Source Geo Country Namibia,1363,1228,Namibia,Content Source Geo,Country,Namibia,,
Nauru Content Source Geo Country Nauru,1364,1228,Nauru,Content Source Geo,Country,Nauru,,
Nepal Content Source Geo Country Nepal,1365,1228,Nepal,Content Source Geo,Country,Nepal,,
New Caledonia Content Source Geo Country New Caledonia,1366,1228,New Caledonia,Content Source Geo,Country,New Caledonia,,
New Zealand Content Source Geo Country New Zealand,1367,1228,New Zealand,Content Source Geo,Country,New Zealand,,
Nicaragua Content Source Geo Country Nicaragua,1368,1228,Nicaragua,Content Source Geo,Country,Nicaragua,,
Nigeria Content Source Geo Country Nigeria,1369,1228,Nigeria,Content Source Geo,Country,Nigeria,,
Niue Content Source Geo Country Niue,1370,1228,Niue,Content Source Geo,Country,Niue,,
Norfolk Island Content Source Geo Country Norfolk Island,1371,1228,Norfolk Island,Content Source Geo,Country,Norfolk Island,,
Norway Content Source Geo Country Norway,1372,1228,Norway,Content Source Geo,Country,Norway,,
Oman Content Source Geo Country Oman,1373,1228,Oman,Content Source Geo,Country,Oman,,
Pakistan Content Source Geo Country Pakistan,1374,1228,Pakistan,Content Source Geo,Country,Pakistan,,
Palau Content Source Geo Country Palau,1375,1228,Palau,Content Source Geo,Country,Palau,,
Panama Content Source Geo Country Panama,1376,1228,Panama,Content Source Geo,Country,Panama,,
Papua New Guinea Content Source Geo Country Papua New Guinea,1377,1228,Papua New Guinea,Content Source Geo,Country,Papua New Guinea,,
Paraguay Content Source Geo Country Paraguay,1378,1228,Paraguay,Content Source Geo,Country,Paraguay,,
Peru Content Source Geo Country Peru,1379,1228,Peru,Content Source Geo,Country,Peru,,
Pitcairn Content Source Geo Country Pitcairn,1380,1228,Pitcairn,Content Source Geo,Country,Pitcairn,,
Poland Content Source Geo Country Poland,1381,1228,Poland,Content Source Geo,Country,Poland,,
Portugal Content Source Geo Country Portugal,1382,1228,Portugal,Content Source Geo,Country,Portugal,,
Puerto Rico Content Source Geo Country Puerto Rico,1383,1228,Puerto Rico,Content Source Geo,Country,Puerto Rico,,
Qatar Content Source Geo Country Qatar,1384,1228,Qatar,Content Source Geo,Country,Qatar,,
Reunion Content Source Geo Country Reunion,1385,1228,Reunion,Content Source Geo,Country,Reunion,,
Romania Content Source Geo Country Romania,1386,1228,Romania,Content Source Geo,Country,Romania,,
Rwanda Content Source Geo Country Rwanda,1387,1228,Rwanda,Content Source Geo,Country,Rwanda,,
Saint Barthelemy Content Source Geo Country Saint Barthelemy,1388,1228,Saint Barthelemy,Content Source Geo,Country,Saint Barthelemy,,
"Saint Helena, Ascension and Tristan da Cunha Content Source Geo Country Saint Helena, Ascension and Tristan da Cunha",1389,1228,"Saint Helena, Ascension and Tristan da Cunha",Content Source Geo,Country,"Saint Helena, Ascension and Tristan da Cunha",,
Saint Kitts and Nevis Content Source Geo Country Saint Kitts and Nevis,1390,1228,Saint Kitts and Nevis,Content Source Geo,Country,Saint Kitts and Nevis,,
Saint Lucia Content Source Geo Country Saint Lucia,1391,1228,Saint Lucia,Content Source Geo,Country,Saint Lucia,,
Saint Martin Content Source Geo Country Saint Martin,1392,1228,Saint Martin,Content Source Geo,Country,Saint Martin,,
Saint Pierre and Miquelon Content Source Geo Country Saint Pierre and Miquelon,1393,1228,Saint Pierre and Miquelon,Content Source Geo,Country,Saint Pierre and Miquelon,,
Saint Vincent and the Grenadines Content Source Geo Country Saint Vincent and the Grenadines,1394,1228,Saint Vincent and the Grenadines,Content Source Geo,Country,Saint Vincent and the Grenadines,,
Samoa Content Source Geo Country Samoa,1395,1228,Samoa,Content Source Geo,Country,Samoa,,
San Marino Content Source Geo Country San Marino,1396,1228,San Marino,Content Source Geo,Country,San Marino,,
Sao Tome and Principe Content Source Geo Country Sao Tome and Principe,1397,1228,Sao Tome and Principe,Content Source Geo,Country,Sao Tome and Principe,,
Saudi Arabia Content Source Geo Country Saudi Arabia,1398,1228,Saudi Arabia,Content Source Geo,Country,Saudi Arabia,,
Senegal Content Source Geo Country Senegal,1399,1228,Senegal,Content Source Geo,Country,Senegal,,
Serbia Content Source Geo Country Serbia,1400,1228,Serbia,Content Source Geo,Country,Serbia,,
Seychelles Content Source Geo Country Seychelles,1401,1228,Seychelles,Content Source Geo,Country,Seychelles,,
Sierra Leone Content Source Geo Country Sierra Leone,1402,1228,Sierra Leone,Content Source Geo,Country,Sierra Leone,,
Singapore Content Source Geo Country Singapore,1403,1228,Singapore,Content Source Geo,Country,Singapore,,
Sint Maarten Content Source Geo Country Sint Maarten,1404,1228,Sint Maarten,Content Source Geo,Country,Sint Maarten,,
Slovakia Content Source Geo Country Slovakia,1405,1228,Slovakia,Content Source Geo,Country,Slovakia,,
Slovenia Content Source Geo Country Slovenia,1406,1228,Slovenia,Content Source Geo,Country,Slovenia,,
Solomon Islands Content Source Geo Country Solomon Islands,1407,1228,Solomon Islands,Content Source Geo,Country,Solomon Islands,,
Somalia Content Source Geo Country Somalia,1408,1228,Somalia,Content Source Geo,Country,Somalia,,
South Africa Content Source Geo Country South Africa,1409,1228,South Africa,Content Source Geo,Country,South Africa,,
South Georgia and the South Sandwich Islands Content Source Geo Country South Georgia and the South Sandwich Islands,1410,1228,South Georgia and the South Sandwich Islands,Content Source Geo,Country,South Georgia and the South Sandwich Islands,,
South Sudan Content Source Geo Country South Sudan,1411,1228,South Sudan,Content Source Geo,Country,South Sudan,,
Spain Content Source Geo Country Spain,1412,1228,Spain,Content Source Geo,Country,Spain,,
Sri Lanka Content Source Geo Country Sri Lanka,1413,1228,Sri Lanka,Content Source Geo,Country,Sri Lanka,,
State of Palestine Content Source Geo Country State of Palestine,1414,1228,State of Palestine,Content Source Geo,Country,State of Palestine,,
Suriname Content Source Geo Country Suriname,1415,1228,Suriname,Content Source Geo,Country,Suriname,,
Svalbard and Jan Mayen Content Source Geo Country Svalbard and Jan Mayen,1416,1228,Svalbard and Jan Mayen,Content Source Geo,Country,Svalbard and Jan Mayen,,
Swaziland Content Source Geo Country Swaziland,1417,1228,Swaziland,Content Source Geo,Country,Swaziland,,
Sweden Content Source Geo Country Sweden,1418,1228,Sweden,Content Source Geo,Country,Sweden,,
Switzerland Content Source Geo Country Switzerland,1419,1228,Switzerland,Content Source Geo,Country,Switzerland,,
Syrian Arab Republic Content Source Geo Country Syrian Arab Republic,1420,1228,Syrian Arab Republic,Content Source Geo,Country,Syrian Arab Republic,,
Taiwan (Province of China) Content Source Geo Country Taiwan (Province of China),1421,1228,Taiwan (Province of China),Content Source Geo,Country,Taiwan (Province of China),,
Tajikistan Content Source Geo Country Tajikistan,1422,1228,Tajikistan,Content Source Geo,Country,Tajikistan,,
Thailand Content Source Geo Country Thailand,1423,1228,Thailand,Content Source Geo,Country,Thailand,,
The Bahamas Content Source Geo Country The Bahamas,1424,1228,The Bahamas,Content Source Geo,Country,The Bahamas,,
The British Indian Ocean Territory Content Source Geo Country The British Indian Ocean Territory,1425,1228,The British Indian Ocean Territory,Content Source Geo,Country,The British Indian Ocean Territory,,
The Cayman Islands Content Source Geo Country The Cayman Islands,1426,1228,The Cayman Islands,Content Source Geo,Country,The Cayman Islands,,
The Central African Republic Content Source Geo Country The Central African Republic,1427,1228,The Central African Republic,Content Source Geo,Country,The Central African Republic,,
The Cocos Islands Content Source Geo Country The Cocos Islands,1428,1228,The Cocos Islands,Content Source Geo,Country,The Cocos Islands,,
The Comoros Content Source Geo Country The Comoros,1429,1228,The Comoros,Content Source Geo,Country,The Comoros,,
The Congo Content Source Geo Country The Congo,1430,1228,The Congo,Content Source Geo,Country,The Congo,,
The Cook Islands Content Source Geo Country The Cook Islands,1431,1228,The Cook Islands,Content Source Geo,Country,The Cook Islands,,
The Democratic People's Republic of Korea Content Source Geo Country The Democratic People's Republic of Korea,1432,1228,The Democratic People's Republic of Korea,Content Source Geo,Country,The Democratic People's Republic of Korea,,
the Democratic Republic of the Congo Content Source Geo Country the Democratic Republic of the Congo,1433,1228,the Democratic Republic of the Congo,Content Source Geo,Country,the Democratic Republic of the Congo,,
The Dominican Republic Content Source Geo Country The Dominican Republic,1434,1228,The Dominican Republic,Content Source Geo,Country,The Dominican Republic,,
The Falkland Islands Content Source Geo Country The Falkland Islands,1435,1228,The Falkland Islands,Content Source Geo,Country,The Falkland Islands,,
The Faroe Islands Content Source Geo Country The Faroe Islands,1436,1228,The Faroe Islands,Content Source Geo,Country,The Faroe Islands,,
The former Yugoslav Republic of Macedonia Content Source Geo Country The former Yugoslav Republic of Macedonia,1437,1228,The former Yugoslav Republic of Macedonia,Content Source Geo,Country,The former Yugoslav Republic of Macedonia,,
The French Southern Territories Content Source Geo Country The French Southern Territories,1438,1228,The French Southern Territories,Content Source Geo,Country,The French Southern Territories,,
The Gambia Content Source Geo Country The Gambia,1439,1228,The Gambia,Content Source Geo,Country,The Gambia,,
The Holy See Content Source Geo Country The Holy See,1440,1228,The Holy See,Content Source Geo,Country,The Holy See,,
The Lao People's Democratic Republic Content Source Geo Country The Lao People's Democratic Republic,1441,1228,The Lao People's Democratic Republic,Content Source Geo,Country,The Lao People's Democratic Republic,,
The Marshall Islands Content Source Geo Country The Marshall Islands,1442,1228,The Marshall Islands,Content Source Geo,Country,The Marshall Islands,,
The Netherlands Content Source Geo Country The Netherlands,1443,1228,The Netherlands,Content Source Geo,Country,The Netherlands,,
The Niger Content Source Geo Country The Niger,1444,1228,The Niger,Content Source Geo,Country,The Niger,,
The Northern Mariana Islands Content Source Geo Country The Northern Mariana Islands,1445,1228,The Northern Mariana Islands,Content Source Geo,Country,The Northern Mariana Islands,,
The Philippines Content Source Geo Country The Philippines,1446,1228,The Philippines,Content Source Geo,Country,The Philippines,,
The Republic of Korea Content Source Geo Country The Republic of Korea,1447,1228,The Republic of Korea,Content Source Geo,Country,The Republic of Korea,,
The Republic of Moldova Content Source Geo Country The Republic of Moldova,1448,1228,The Republic of Moldova,Content Source Geo,Country,The Republic of Moldova,,
The Russian Federation Content Source Geo Country The Russian Federation,1449,1228,The Russian Federation,Content Source Geo,Country,The Russian Federation,,
The Sudan Content Source Geo Country The Sudan,1450,1228,The Sudan,Content Source Geo,Country,The Sudan,,
The Turks and Caicos Islands Content Source Geo Country The Turks and Caicos Islands,1451,1228,The Turks and Caicos Islands,Content Source Geo,Country,The Turks and Caicos Islands,,
The United Arab Emirates Content Source Geo Country The United Arab Emirates,1452,1228,The United Arab Emirates,Content Source Geo,Country,The United Arab Emirates,,
The United Kingdom of Great Britain and Northern Ireland Content Source Geo Country The United Kingdom of Great Britain and Northern Ireland,1453,1228,The United Kingdom of Great Britain and Northern Ireland,Content Source Geo,Country,The United Kingdom of Great Britain and Northern Ireland,,
The United States Minor Outlying Islands Content Source Geo Country The United States Minor Outlying Islands,1454,1228,The United States Minor Outlying Islands,Content Source Geo,Country,The United States Minor Outlying Islands,,
The United States of America Content Source Geo Country The United States of America,1455,1228,The United States of America,Content Source Geo,Country,The United States of America,,
Timor-Leste Content Source Geo Country Timor-Leste,1456,1228,Timor-Leste,Content Source Geo,Country,Timor-Leste,,
